,model,test_ci,test_ipcw,test_auc,test_brier,n_features
58,cph,0.6841384394986543,0.6726651107907944,0.6804857763733824,0.03705132,12
59,cph,0.6859336694019696,0.6746362426639968,0.6851586029436153,0.037071707941773065,13
60,cph,0.6875580677452032,0.6723592544332169,0.6874362798751347,0.037044727,14
62,cph,0.6909387344078738,0.6776770199897034,0.6932947161715891,0.037041344,16
63,cph,0.6883313053329417,0.6736378236633149,0.6913378188583106,0.037069431,17
64,cph,0.6922874046190456,0.681133027,0.6924311602990805,0.036973679220210255,18
65,cph,0.6914332468186368,0.6797485681399007,0.691652532,0.036968701,19
66,ridge_cph,0.6715028981424316,0.6675783780498259,0.6617757109019698,0.037285727,6
67,ridge_cph,0.6756837757970641,0.6645179578437581,0.6668169127573808,0.037313151,7
68,ridge_cph,0.673432995,0.6651822135479181,0.665478653,0.037139459089580835,8
69,ridge_cph,0.6754769796980178,0.6652143736965198,0.6663435020716953,0.037127692852499325,9
70,ridge_cph,0.6843931883163201,0.6773234909757594,0.6746617241000281,0.036987086,11
71,ridge_cph,0.6822682834724961,0.6763641372888541,0.6724778707755331,0.037021239,12
72,ridge_cph,0.684531052,0.678009192,0.6773476964294283,0.036881262,13
73,ridge_cph,0.6823551977749939,0.6763897912535036,0.6745514929773105,0.036850537,14
75,ridge_cph,0.6782282669288082,0.6726885189327132,0.6689745167041741,0.036869290712251174,16
76,ridge_cph,0.6777966924612332,0.6728675550885655,0.668305785,0.036850793,17
77,ridge_cph,0.6832213437550575,0.6770638626349901,0.6740947623314616,0.036879355,18
78,ridge_cph,0.6873842391402077,0.679148186,0.6795656770981339,0.036836721,19
79,lasso_cph,0.6636206700193609,0.6604952290639698,0.653906608,0.037387155339501404,6
80,lasso_cph,0.6697346416433396,0.6598552571610701,0.661759024,0.037335741518552235,7
81,lasso_cph,0.6735139152795344,0.6620036441185699,0.6680757066068868,0.037204525384968316,8
82,lasso_cph,0.6742062326546026,0.6656519107737177,0.6690410831712885,0.037202907,9
83,lasso_cph,0.6873242982419334,0.6775868619005432,0.6811126008388133,0.037075605,11
84,lasso_cph,0.6846389459992448,0.6758359085401755,0.6779078579718052,0.037053982,12
85,lasso_cph,0.6844171646756299,0.6771272828133716,0.6798417644929096,0.037032350326599066,13
86,lasso_cph,0.6877618667993358,0.6790873050676708,0.6821711241511805,0.037041071,14
87,lasso_cph,0.6860205837044674,0.6753011846610633,0.682104242,0.037075336,16
88,lasso_cph,0.6885141250726783,0.6794588662226859,0.6852905463793807,0.037037059,17
89,lasso_cph,0.6888527911479282,0.6805761944430354,0.6848509407432107,0.037034362964258695,18
90,lasso_cph,0.6907079619495178,0.6854382711054992,0.684395709,0.036949529,19
91,elastic_cph,0.6682391162313959,0.6596034459251536,0.6617473581538051,0.037348251,6
92,elastic_cph,0.6689823833699972,0.662605683,0.66297302,0.037308398951683974,7
93,elastic_cph,0.6713200784026949,0.6630006872294537,0.6642238280723063,0.037283105225008696,8
94,elastic_cph,0.6759355275698161,0.666333473,0.6718572304274456,0.037164384231043804,9
95,elastic_cph,0.6864851256660932,0.6765172830669971,0.6800260469151153,0.037027963,11
96,elastic_cph,0.6843602208222692,0.6753642353734866,0.6773921638198612,0.037012634,12
97,elastic_cph,0.6859246782672285,0.6786252958348055,0.6786418620356661,0.036984836,13
98,elastic_cph,0.6900935677422062,0.6819872161599699,0.6826868018200014,0.03698894,14
99,elastic_cph,0.6894551971755849,0.6821813580999065,0.6817980029881938,0.036967450441870206,16
100,elastic_cph,0.6878188106526965,0.6795721439150418,0.6805164671302102,0.036972216,17
101,elastic_cph,0.6858617403240405,0.6767057679068672,0.6784043484266293,0.037035171,18
102,elastic_cph,0.6861674389052395,0.6785365515589408,0.6797312883700449,0.037003782,19
